fiscal_quarter,company_name,cik,revenue_usd,filed_date
2025-Q3,PRICE T ROWE GROUP INC,1113169,1723000000000.0,2025-10-31
2024-Q3,PRICE T ROWE GROUP INC,1113169,1589500000000.0,2025-10-31
2025-Q4,WALMART INC.,104169,522507000000.0,2025-12-03
2025-Q3,AMAZON COM INC,1018724,503538000000.0,2025-10-31
2024-Q4,WALMART INC.,104169,500431000000.0,2025-12-03
2024-Q3,AMAZON COM INC,1018724,450167000000.0,2025-10-31
2025-Q3,APPLE INC,320193,416161000000.0,2025-10-31
2024-Q3,APPLE INC,320193,391035000000.0,2025-10-31
2023-Q3,APPLE INC,320193,383285000000.0,2025-10-31
2024-Q3,EXXON MOBIL CORP,34088,363783000000.0,2025-11-03
2025-Q3,CVS HEALTH CORP,64803,348311000000.0,2025-10-29
2025-Q3,EXXON MOBIL CORP,34088,340527000000.0,2025-11-03
2025-Q3,UNITEDHEALTH GROUP INC,731766,334352000000.0,2025-10-28
2025-Q3,"CENCORA, INC.",1140859,321332819000.0,2025-11-25
2024-Q3,CVS HEALTH CORP,64803,315646000000.0,2025-10-29
2024-Q3,UNITEDHEALTH GROUP INC,731766,299471000000.0,2025-10-28
2024-Q3,"CENCORA, INC.",1140859,293958599000.0,2025-11-25
2025-Q3,ALPHABET INC.,1652044,289007000000.0,2025-10-30
2025-Q3,BERKSHIRE HATHAWAY INC,1067983,277212000000.0,2025-11-03
2024-Q3,BERKSHIRE HATHAWAY INC,1067983,276517000000.0,2025-11-03
2025-Q3,COSTCO WHOLESALE CORP /NEW,909832,275235000000.0,2025-10-08
2023-Q3,"CENCORA, INC.",1140859,262173411000.0,2025-11-25
2024-Q3,COSTCO WHOLESALE CORP /NEW,909832,254453000000.0,2025-10-08
2024-Q3,ALPHABET INC.,1652044,253549000000.0,2025-10-30
2023-Q3,COSTCO WHOLESALE CORP /NEW,909832,242290000000.0,2025-10-08
2025-Q3,CIGNA GROUP,1739940,202428000000.0,2025-10-30
2025-Q3,MCKESSON CORP,927653,200977000000.0,2025-11-06
2024-Q3,CHEVRON CORP,93410,186030000000.0,2025-11-06
2024-Q3,CIGNA GROUP,1739940,181472000000.0,2025-10-30
2025-Q3,CHEVRON CORP,93410,174407000000.0,2025-11-06
2024-Q3,MCKESSON CORP,927653,172934000000.0,2025-11-06
2025-Q3,"ELEVANCE HEALTH, INC.",1156039,149378000000.0,2025-10-21
2025-Q4,NVIDIA CORP,1045810,147811000000.0,2025-11-19
2025-Q3,CENTENE CORP,1071739,145052000000.0,2025-10-29
2025-Q3,FORD MOTOR CO,37996,141377000000.0,2025-10-24
2025-Q3,"META PLATFORMS, INC.",1326801,141073000000.0,2025-10-30
2024-Q3,GENERAL MOTORS CO,1467858,139740000000.0,2025-10-21
2025-Q3,GENERAL MOTORS CO,1467858,139732000000.0,2025-10-21
2025-Q3,ENTERPRISE PRODUCTS PARTNERS L.P.,1061219,139537000000.0,2025-11-06
2024-Q3,ENTERPRISE PRODUCTS PARTNERS L.P.,1061219,138185000000.0,2025-11-06
2024-Q3,FORD MOTOR CO,37996,136781000000.0,2025-10-24
2025-Q3,STONEX GROUP INC.,913760,132378200000.0,2025-11-28
2024-Q3,"ELEVANCE HEALTH, INC.",1156039,131569000000.0,2025-10-21
2025-Q4,"HOME DEPOT, INC.",354950,126485000000.0,2025-11-25
2024-Q3,CENTENE CORP,1071739,122266000000.0,2025-10-29
2022-Q4,GALAXY DIGITAL INC.,1859392,119825847000.0,2025-12-09
2024-Q4,"HOME DEPOT, INC.",354950,119810000000.0,2025-11-25
2024-Q3,"META PLATFORMS, INC.",1326801,116116000000.0,2025-10-30
2025-Q4,KROGER CO,56873,112917000000.0,2025-12-12
2024-Q4,KROGER CO,56873,112815000000.0,2025-12-12
2024-Q3,MARATHON PETROLEUM CORP,1510295,110192000000.0,2025-11-04
2024-Q3,PHILLIPS 66,1534701,109468000000.0,2025-10-29
2025-Q3,MARATHON PETROLEUM CORP,1510295,104611000000.0,2025-11-04
2025-Q3,VERIZON COMMUNICATIONS INC,732712,101810000000.0,2025-10-29
2024-Q3,STONEX GROUP INC.,913760,99887800000.0,2025-11-28
2024-Q3,VERIZON COMMUNICATIONS INC,732712,99107000000.0,2025-10-29
2025-Q3,PHILLIPS 66,1534701,98268000000.0,2025-10-29
2025-Q3,HUMANA INC,49071,97149000000.0,2025-11-05
2024-Q3,COMCAST CORP,1166691,95803000000.0,2025-10-30
2025-Q3,COMCAST CORP,1166691,95375000000.0,2025-10-30
2025-Q3,WALT DISNEY CO,1744489,94425000000.0,2025-11-13
2025-Q3,AT&T INC.,732717,92182000000.0,2025-10-31
2024-Q3,WALT DISNEY CO,1744489,91361000000.0,2025-11-13
2024-Q4,NVIDIA CORP,1045810,91166000000.0,2025-11-19
2024-Q3,AT&T INC.,732717,90038000000.0,2025-10-31
2023-Q3,WALT DISNEY CO,1744489,88898000000.0,2025-11-13
2024-Q3,HUMANA INC,49071,88548000000.0,2025-11-05
2025-Q3,BANK OF AMERICA CORP /DE/,70858,81917000000.0,2025-10-31
2025-Q4,DELL TECHNOLOGIES INC.,1571996,80159000000.0,2025-12-09
2025-Q3,MICROSOFT CORP,789019,77673000000.0,2025-10-29
2024-Q3,BANK OF AMERICA CORP /DE/,70858,76540000000.0,2025-10-31
2024-Q4,TARGET CORP,27419,75651000000.0,2025-11-26
2025-Q4,TARGET CORP,27419,74327000000.0,2025-11-26
2024-Q3,"TESLA, INC.",1318605,71983000000.0,2025-10-23
2024-Q4,DELL TECHNOLOGIES INC.,1571996,71636000000.0,2025-12-09
2025-Q3,"TESLA, INC.",1318605,69926000000.0,2025-10-23
2025-Q3,ACCENTURE PLC,1467373,69672977000.0,2025-10-10
2025-Q3,JOHNSON & JOHNSON,200406,69629000000.0,2025-10-22
2025-Q4,COSTCO WHOLESALE CORP /NEW,909832,67307000000.0,2025-12-17
2024-Q3,JOHNSON & JOHNSON,200406,66301000000.0,2025-10-22
2025-Q3,RTX CORP,101829,66266000000.0,2025-10-21
2024-Q3,UNITED PARCEL SERVICE INC,1090727,65769000000.0,2025-11-05
2025-Q4,LOWES COMPANIES INC,60667,65701000000.0,2025-11-26
2024-Q3,MICROSOFT CORP,789019,65585000000.0,2025-10-29
2025-Q3,BOEING CO,12927,65515000000.0,2025-10-29
2025-Q3,CITIGROUP INC,831001,65354000000.0,2025-11-06
2024-Q4,LOWES COMPANIES INC,60667,65120000000.0,2025-11-26
2025-Q3,PROGRESSIVE CORP/OH/,80661,64925000000.0,2025-11-03
2024-Q3,ACCENTURE PLC,1467373,64896464000.0,2025-10-10
2025-Q3,PEPSICO INC,77476,64582000000.0,2025-10-09
2025-Q3,BRISTOL MYERS SQUIBB CO,14272,64548000000.0,2025-10-30
2025-Q3,UNITED PARCEL SERVICE INC,1090727,64182000000.0,2025-11-05
2023-Q3,ACCENTURE PLC,1467373,64111745000.0,2025-10-10
