account_id,signup_ts_utc,signup_month,initial_plan_tier,region,acquisition_channel
acct_000001,2024-02-01T19:17:00+00:00,2024-02-01,free,EU,paid_search
acct_000002,2024-03-24T09:43:00+00:00,2024-03-01,free,NA,direct
acct_000003,2024-01-01T09:13:00+00:00,2024-01-01,free,EU,organic
acct_000004,2024-09-07T19:41:00+00:00,2024-09-01,free,LATAM,paid_search
acct_000005,2024-08-19T12:51:00+00:00,2024-08-01,free,NA,paid_search
acct_000006,2024-07-11T12:09:00+00:00,2024-07-01,free,EU,partner
acct_000007,2024-02-03T14:06:00+00:00,2024-02-01,free,APAC,partner
acct_000008,2024-05-02T19:29:00+00:00,2024-05-01,free,NA,direct
acct_000009,2024-02-18T12:53:00+00:00,2024-02-01,free,APAC,paid_search
acct_000010,2024-02-02T18:14:00+00:00,2024-02-01,free,APAC,organic
acct_000011,2024-04-04T14:17:00+00:00,2024-04-01,free,LATAM,partner
acct_000012,2024-03-12T13:13:00+00:00,2024-03-01,free,APAC,organic
acct_000013,2024-03-18T19:15:00+00:00,2024-03-01,free,EU,direct
acct_000014,2024-07-09T18:44:00+00:00,2024-07-01,free,EU,partner
acct_000015,2024-01-08T08:51:00+00:00,2024-01-01,free,APAC,direct
acct_000016,2024-05-03T11:58:00+00:00,2024-05-01,free,APAC,paid_search
acct_000017,2024-08-13T18:29:00+00:00,2024-08-01,free,EU,partner
acct_000018,2024-03-08T19:35:00+00:00,2024-03-01,free,APAC,direct
acct_000019,2024-07-12T11:08:00+00:00,2024-07-01,free,LATAM,organic
acct_000020,2024-01-04T10:40:00+00:00,2024-01-01,free,EU,direct
acct_000021,2024-02-13T14:38:00+00:00,2024-02-01,free,LATAM,partner
acct_000022,2024-09-01T18:46:00+00:00,2024-09-01,free,NA,partner
acct_000023,2024-06-04T12:27:00+00:00,2024-06-01,free,EU,direct
acct_000024,2024-01-24T19:16:00+00:00,2024-01-01,free,EU,organic
acct_000025,2024-05-21T16:38:00+00:00,2024-05-01,free,EU,paid_search
acct_000026,2024-06-25T10:34:00+00:00,2024-06-01,free,NA,partner
acct_000027,2024-08-01T09:59:00+00:00,2024-08-01,free,APAC,partner
acct_000028,2024-04-02T11:56:00+00:00,2024-04-01,free,NA,organic
acct_000029,2024-08-03T20:34:00+00:00,2024-08-01,free,EU,paid_search
acct_000030,2024-08-18T10:16:00+00:00,2024-08-01,free,LATAM,paid_search
acct_000031,2024-09-25T19:44:00+00:00,2024-09-01,free,EU,partner
acct_000032,2024-07-22T18:23:00+00:00,2024-07-01,free,LATAM,direct
acct_000033,2024-02-08T11:04:00+00:00,2024-02-01,free,APAC,organic
acct_000034,2024-09-08T17:14:00+00:00,2024-09-01,free,NA,organic
acct_000035,2024-01-08T09:57:00+00:00,2024-01-01,free,NA,partner
acct_000036,2024-02-17T11:17:00+00:00,2024-02-01,free,LATAM,paid_search
acct_000037,2024-09-05T19:59:00+00:00,2024-09-01,free,LATAM,paid_search
acct_000038,2024-08-14T11:06:00+00:00,2024-08-01,free,NA,direct
acct_000039,2024-06-14T14:29:00+00:00,2024-06-01,free,NA,organic
acct_000040,2024-01-13T19:21:00+00:00,2024-01-01,free,NA,paid_search
acct_000041,2024-04-07T16:28:00+00:00,2024-04-01,free,EU,direct
acct_000042,2024-03-09T15:15:00+00:00,2024-03-01,free,NA,direct
acct_000043,2024-09-04T08:41:00+00:00,2024-09-01,free,NA,organic
acct_000044,2024-04-06T14:31:00+00:00,2024-04-01,free,LATAM,paid_search
acct_000045,2024-07-02T10:24:00+00:00,2024-07-01,free,NA,direct
acct_000046,2024-05-15T12:27:00+00:00,2024-05-01,free,LATAM,paid_search
acct_000047,2024-04-10T11:03:00+00:00,2024-04-01,free,NA,partner
acct_000048,2024-01-02T17:30:00+00:00,2024-01-01,free,EU,organic
acct_000049,2024-09-03T10:04:00+00:00,2024-09-01,free,NA,paid_search
acct_000050,2024-07-04T17:15:00+00:00,2024-07-01,free,NA,organic
acct_000051,2024-07-22T17:36:00+00:00,2024-07-01,free,APAC,partner
acct_000052,2024-04-22T19:20:00+00:00,2024-04-01,free,EU,partner
acct_000053,2024-07-05T18:41:00+00:00,2024-07-01,free,APAC,direct
acct_000054,2024-06-25T09:00:00+00:00,2024-06-01,free,LATAM,organic
acct_000055,2024-02-18T11:32:00+00:00,2024-02-01,free,APAC,paid_search
acct_000056,2024-06-03T11:23:00+00:00,2024-06-01,free,APAC,paid_search
acct_000057,2024-08-18T19:19:00+00:00,2024-08-01,free,NA,partner
acct_000058,2024-02-05T12:07:00+00:00,2024-02-01,free,NA,paid_search
acct_000059,2024-05-10T17:13:00+00:00,2024-05-01,free,APAC,paid_search
acct_000060,2024-05-17T15:16:00+00:00,2024-05-01,free,NA,organic
acct_000061,2024-07-09T08:00:00+00:00,2024-07-01,free,APAC,paid_search
acct_000062,2024-05-06T19:28:00+00:00,2024-05-01,free,LATAM,organic
acct_000063,2024-02-03T19:57:00+00:00,2024-02-01,free,EU,organic
acct_000064,2024-06-19T16:09:00+00:00,2024-06-01,free,LATAM,paid_search
acct_000065,2024-01-10T13:57:00+00:00,2024-01-01,free,NA,partner
acct_000066,2024-04-22T11:42:00+00:00,2024-04-01,free,NA,partner
acct_000067,2024-09-14T17:47:00+00:00,2024-09-01,free,EU,paid_search
acct_000068,2024-03-06T14:01:00+00:00,2024-03-01,free,EU,partner
acct_000069,2024-07-22T19:51:00+00:00,2024-07-01,free,EU,partner
acct_000070,2024-03-23T09:24:00+00:00,2024-03-01,free,NA,direct
acct_000071,2024-04-07T15:22:00+00:00,2024-04-01,free,APAC,paid_search
acct_000072,2024-04-01T18:12:00+00:00,2024-04-01,free,LATAM,partner
acct_000073,2024-05-03T20:17:00+00:00,2024-05-01,free,APAC,direct
acct_000074,2024-09-11T08:07:00+00:00,2024-09-01,free,APAC,paid_search
acct_000075,2024-05-02T09:38:00+00:00,2024-05-01,free,LATAM,partner
acct_000076,2024-06-14T17:32:00+00:00,2024-06-01,free,NA,direct
acct_000077,2024-04-09T08:45:00+00:00,2024-04-01,free,LATAM,organic
acct_000078,2024-09-18T18:46:00+00:00,2024-09-01,free,EU,partner
acct_000079,2024-07-03T18:58:00+00:00,2024-07-01,free,APAC,partner
acct_000080,2024-02-24T12:32:00+00:00,2024-02-01,free,APAC,direct
acct_000081,2024-06-13T19:18:00+00:00,2024-06-01,free,EU,paid_search
acct_000082,2024-07-22T14:43:00+00:00,2024-07-01,free,EU,partner
acct_000083,2024-07-18T08:19:00+00:00,2024-07-01,free,APAC,paid_search
acct_000084,2024-07-19T17:41:00+00:00,2024-07-01,free,APAC,direct
acct_000085,2024-08-15T18:13:00+00:00,2024-08-01,free,LATAM,paid_search
acct_000086,2024-02-10T16:42:00+00:00,2024-02-01,free,APAC,organic
acct_000087,2024-04-22T12:14:00+00:00,2024-04-01,free,EU,paid_search
acct_000088,2024-01-02T11:30:00+00:00,2024-01-01,free,NA,direct
acct_000089,2024-07-21T17:12:00+00:00,2024-07-01,free,LATAM,direct
acct_000090,2024-07-08T10:41:00+00:00,2024-07-01,free,NA,organic
acct_000091,2024-07-08T10:51:00+00:00,2024-07-01,free,LATAM,organic
acct_000092,2024-09-08T09:29:00+00:00,2024-09-01,free,EU,direct
acct_000093,2024-09-18T17:20:00+00:00,2024-09-01,free,LATAM,direct
acct_000094,2024-09-15T10:47:00+00:00,2024-09-01,free,LATAM,direct
acct_000095,2024-05-25T11:53:00+00:00,2024-05-01,free,APAC,direct
acct_000096,2024-04-09T15:04:00+00:00,2024-04-01,free,APAC,paid_search
acct_000097,2024-05-11T13:57:00+00:00,2024-05-01,free,NA,paid_search
acct_000098,2024-03-08T14:44:00+00:00,2024-03-01,free,EU,paid_search
acct_000099,2024-02-14T14:21:00+00:00,2024-02-01,free,LATAM,direct
acct_000100,2024-01-07T14:24:00+00:00,2024-01-01,free,NA,direct
acct_000101,2024-08-01T13:19:00+00:00,2024-08-01,free,LATAM,direct
acct_000102,2024-09-24T19:34:00+00:00,2024-09-01,free,EU,direct
acct_000103,2024-04-09T14:31:00+00:00,2024-04-01,free,NA,direct
acct_000104,2024-06-22T18:51:00+00:00,2024-06-01,free,LATAM,paid_search
acct_000105,2024-08-05T17:34:00+00:00,2024-08-01,free,NA,direct
acct_000106,2024-01-03T18:27:00+00:00,2024-01-01,free,EU,direct
acct_000107,2024-03-02T12:24:00+00:00,2024-03-01,free,APAC,paid_search
acct_000108,2024-08-11T13:48:00+00:00,2024-08-01,free,LATAM,partner
acct_000109,2024-07-09T09:30:00+00:00,2024-07-01,free,NA,organic
acct_000110,2024-06-08T18:04:00+00:00,2024-06-01,free,NA,organic
acct_000111,2024-04-07T08:39:00+00:00,2024-04-01,free,EU,paid_search
acct_000112,2024-03-16T18:07:00+00:00,2024-03-01,free,EU,direct
acct_000113,2024-05-25T13:10:00+00:00,2024-05-01,free,NA,paid_search
acct_000114,2024-05-04T17:01:00+00:00,2024-05-01,free,APAC,direct
acct_000115,2024-07-23T11:04:00+00:00,2024-07-01,free,EU,organic
acct_000116,2024-05-22T17:51:00+00:00,2024-05-01,free,NA,organic
acct_000117,2024-06-18T14:42:00+00:00,2024-06-01,free,APAC,organic
acct_000118,2024-09-21T13:00:00+00:00,2024-09-01,free,LATAM,direct
acct_000119,2024-02-14T13:40:00+00:00,2024-02-01,free,LATAM,paid_search
acct_000120,2024-07-06T19:33:00+00:00,2024-07-01,free,APAC,direct
acct_000121,2024-08-14T19:37:00+00:00,2024-08-01,free,APAC,partner
acct_000122,2024-04-03T12:56:00+00:00,2024-04-01,free,LATAM,paid_search
acct_000123,2024-08-19T17:42:00+00:00,2024-08-01,free,LATAM,partner
acct_000124,2024-01-16T13:11:00+00:00,2024-01-01,free,LATAM,paid_search
acct_000125,2024-06-09T13:17:00+00:00,2024-06-01,free,APAC,organic
acct_000126,2024-09-07T09:15:00+00:00,2024-09-01,free,LATAM,direct
acct_000127,2024-09-25T11:44:00+00:00,2024-09-01,free,LATAM,direct
acct_000128,2024-08-01T09:18:00+00:00,2024-08-01,free,EU,direct
acct_000129,2024-04-10T18:37:00+00:00,2024-04-01,free,APAC,direct
acct_000130,2024-09-17T13:27:00+00:00,2024-09-01,free,APAC,partner
acct_000131,2024-08-09T12:16:00+00:00,2024-08-01,free,EU,organic
acct_000132,2024-04-11T09:47:00+00:00,2024-04-01,free,EU,paid_search
acct_000133,2024-04-24T15:17:00+00:00,2024-04-01,free,APAC,organic
acct_000134,2024-04-10T11:23:00+00:00,2024-04-01,free,EU,partner
acct_000135,2024-01-23T16:08:00+00:00,2024-01-01,free,APAC,organic
acct_000136,2024-01-18T12:44:00+00:00,2024-01-01,free,EU,direct
acct_000137,2024-02-01T17:18:00+00:00,2024-02-01,free,LATAM,direct
acct_000138,2024-08-11T10:03:00+00:00,2024-08-01,free,APAC,direct
acct_000139,2024-02-03T14:31:00+00:00,2024-02-01,free,NA,organic
acct_000140,2024-03-05T20:36:00+00:00,2024-03-01,free,APAC,organic
